District,Towers Inside
Adalar,2
Gaziosmanpaşa,0
Ümraniye,1
Sultangazi,1
Kağıthane,1
Çekmeköy,0
Pendik,2
Üsküdar,1
Arnavutköy,1
Sarıyer,1
Sancaktepe,1
Şişli,1
Beykoz,1
Kadıköy,2
Esenyurt,4
Başakşehir,2
Kartal,2
Maltepe,2
Ataşehir,2
Eyüpsultan,2
Bağcılar,4
Sultanbeyli,2
Küçükçekmece,5
Beşiktaş,1
Esenler,3
Avcılar,4
Bahçelievler,5
Beyoğlu,2
Beylikdüzü,5
Silivri,3
Tuzla,4
Şile,0
Çatalca,1
Fatih,6
Büyükçekmece,4
Bayrampaşa,4
Güngören,5
Zeytinburnu,5
Bakırköy,8
